Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Kung Fu Panda 4,02/03/2024,Comedy,Mike Mitchell,Jack Black:Awkwafina:Bryan Cranston,Viola Davis:Dustin Hoffman:James Hong,English,94,85000000,176000000,6.9,PG
Argylle,31/01/2024,Comedy,Matthew Vaughn,Bryce Dallas Howard:Sam Rockwell:Bryan Cranston,Catherine O'Hara:Henry Cavill:Ariana DeBose,English,139,200000000,94623605,6.15,PG-13
Migration,06/12/2023,Comedy,Benjamin Renner,Kumail Nanjiani:Tresi Gazal:Awkwafina,Carol Kane:Keegan-Michael Key:Danny DeVito,English,83,72000000,286131120,7.566,PG
Poor Things,07/12/2023,Comedy,Yorgos Lanthimos,Emma Stone:Mark Ruffalo:Willem Dafoe,Ramy Youssef:Christopher Abbott:Suzy Bemba,English,142,35000000,112000000,7.86,R
Wonka,06/12/2023,Comedy,Paul King,Timothée Chalamet:Calah Lane:Keegan-Michael Key,Hugh Grant:Paterson Joseph:Olivia Colman,English,117,125000000,625890096,7.208,PG
Anyone But You,21/12/2023,Comedy,Will Gluck,Sydney Sweeney:Glen Powell:Mia Artemis,Nat Buchanan:Josh Bonello:GaTa,English,103,25000000,214891370,7.1,R
Skal - Fight for Survival,24/11/2023,Comedy,Benjamin Cappelletti,Evan Marsh:Chris Sandiford:Mariah Inger,Darren Eisenhauer:Olivia Scriven:Trevor Hayes,English,77,0,0,5.509,
Irish Wish,14/03/2024,Comedy,Janeen Damian,Lindsay Lohan:Ed Speleers:Alexander Vlahos,Ayesha Curry:Elizabeth Tan:Jacinta Mulcahy,English,94,0,0,6.344,PG
The Thundermans Return,07/03/2024,Comedy,Trevor Kirschner,Kira Kosarin:Jack Griffo:Addison Riecke,Diego Velazquez:Maya Le Clark:Chris Tallman,English,70,1208,12,7.778,
Barbie,19/07/2023,Comedy,Greta Gerwig,Margot Robbie:Ryan Gosling:America Ferrera,Ariana Greenblatt:Issa Rae:Kate McKinnon,English,114,145000000,1445638421,7.102,PG-13
Kung Fu Panda,04/06/2008,Comedy,Mark Osborne,Jack Black:Angelina Jolie:Dustin Hoffman,Ian McShane:Jackie Chan:Lucy Liu,English,90,130000000,631700000,7.269,PG
The Adventures,22/12/2023,Comedy,Ittisak Eusunthornwattana,Sunny Suwanmethanon:Matcha Mosimann:Somchai Kemglad,Pongsatorn Jongwilas:Jarnnawut Jarnyaharn:Peerada Kointarangkul,Thai,143,0,0,6.667,
Murder Mubarak,15/03/2024,Comedy,Homi Adajania,Pankaj Tripathi:Sara Ali Khan:Vijay Varma,Tisca Chopra:Sanjay Kapoor:Karisma Kapoor,Hindi:Telugu:Tamil:Urdu:Odia:Bengali,142,0,0,6.9,
Ghostbusters: Frozen Empire,20/03/2024,Comedy,Gil Kenan,Paul Rudd:Carrie Coon:Finn Wolfhard,Mckenna Grace:Kumail Nanjiani:Patton Oswalt,English,115,100000000,0,6.694,PG-13
Ricky Stanicky,21/02/2024,Comedy,Peter Farrelly,Zac Efron:Jermaine Fowler:Andrew Santino,John Cena:Lex Scott Davis:Anja Savcic,English,113,0,0,6.346,R
The Super Mario Bros. Movie,05/04/2023,Comedy,Michael Jelenic,Chris Pratt:Anya Taylor-Joy:Charlie Day,Jack Black:Keegan-Michael Key:Seth Rogen,English:Spanish:Dutch:French:German,93,100000000,1362000000,7.686,PG
Elemental,14/06/2023,Comedy,Peter Sohn,Leah Lewis:Mamoudou Athie:Ronnie del Carmen,Shila Ommi:Wendi McLendon-Covey:Catherine O'Hara,English,102,200000000,496000000,7.667,PG
The Family Plan,14/12/2023,Comedy,Simon Cellan Jones,Mark Wahlberg:Michelle Monaghan:Maggie Q,Zoe Colletti:Van Crosby:Ciarán Hinds,English,119,0,0,7.344,PG-13
Kung Fu Panda 2,25/05/2011,Comedy,Jennifer Yuh Nelson,Jack Black:Angelina Jolie:Dustin Hoffman,Gary Oldman:Jackie Chan:Lucy Liu,English:Spanish:French:German:Gaelic,91,150000000,665700000,7.001,PG
Through My Window 3: Looking at You,23/02/2024,Comedy,Marçal Forés,Clara Galle:Julio Pena:Natalia Azahara,Eric Masip:Andrea Chaparro:Emilia Lazo,Spanish,105,0,0,6.97,
Kung Fu Panda 3,23/01/2016,Comedy,Jennifer Yuh Nelson,Jack Black:Bryan Cranston:Dustin Hoffman,Angelina Jolie:J.K. Simmons:Jackie Chan,English,95,145000000,521170825,6.896,PG
Joey and Ella,27/07/2021,Comedy,Stephen Shimek,Angela Tran:Ashton Leigh:Avalon Howard,Britt Allen:Brooks Ryan:Sabreena Iman,English,99,0,0,4.1,G
Bullet Train,03/08/2022,Comedy,David Leitch,Brad Pitt:Joey King:Aaron Taylor-Johnson,Brian Tyree Henry:Andrew Koji:Hiroyuki Sanada,English,126,90000000,239300000,7.5,R
Freelance,05/10/2023,Comedy,Pierre Morel,John Cena:Alison Brie:Juan Pablo Raba,Christian Slater:Alice Eve:Marton Csokas,English,108,40000000,9112817,6.533,R
Orion and the Dark,01/02/2024,Comedy,Sean Charmatz,Jacob Tremblay:Paul Walter Hauser:Angela Bassett,Colin Hanks:Natasia Demetriou:Golda Rosheuvel,English,93,0,0,6.665,PG
The Suicide Squad,28/07/2021,Comedy,James Gunn,Margot Robbie:Idris Elba:John Cena,Joel Kinnaman:Sylvester Stallone:Viola Davis,English,132,185000000,168717425,7.5,R
Puss in Boots: The Last Wish,07/12/2022,Comedy,Joel Crawford,Antonio Banderas:Salma Hayek Pinault:Harvey Guillén,Wagner Moura:Florence Pugh:Olivia Colman,English,103,90000000,484700000,8.243,PG
Mean Girls,10/01/2024,Comedy,Samantha Jayne,Angourie Rice:Reneé Rapp:Auli'i Cravalho,Jaquel Spivey:Avantika:Bebe Wood,English,113,36000000,103532527,6.148,PG-13
Inside Out,09/06/2015,Comedy,Pete Docter,Amy Poehler:Phyllis Smith:Bill Hader,Lewis Black:Mindy Kaling:Richard Kind,English,95,175000000,857611174,7.917,PG
Trolls Band Together,12/10/2023,Comedy,Walt Dohrn,Anna Kendrick:Justin Timberlake:Camila Cabello,Eric André:Amy Schumer:Andrew Rannells,English,91,95000000,207318137,7.309,PG
Turning Red,10/03/2022,Comedy,Domee Shi,Rosalie Chiang:Sandra Oh:Ava Morse,Hyein Park:Maitreyi Ramakrishnan:Orion Lee,English,100,175000000,21328962,7.399,PG
Deadpool,09/02/2016,Comedy,Tim Miller,Ryan Reynolds:Morena Baccarin:Ed Skrein,T.J. Miller:Gina Carano:Leslie Uggams,English,108,58000000,782837347,7.61,R
Leo,17/11/2023,Comedy,Robert Smigel,Adam Sandler:Bill Burr:Cecily Strong,Jason Alexander:Rob Schneider:Allison Strong,English,102,0,0,7.5,PG
Monsters:Inc.,01/11/2001,Comedy,Pete Docter,John Goodman:Billy Crystal:Mary Gibbs,Steve Buscemi:James Coburn:Jennifer Tilly,English,92,115000000,579700000,7.843,G
Forrest Gump,23/06/1994,Comedy,Robert Zemeckis,Tom Hanks:Robin Wright:Gary Sinise,Sally Field:Mykelti Williamson:Michael Conner Humphreys,English,142,55000000,677387716,8.476,PG-13
Ghostbusters: Afterlife,11/11/2021,Comedy,Jason Reitman,Mckenna Grace:Finn Wolfhard:Carrie Coon,Bokeem Woodbine:Paul Rudd:Logan Kim,English,124,75000000,191000000,7.4,PG-13
The Suicide Squad,28/07/2021,Comedy,James Gunn,Margot Robbie:Idris Elba:John Cena,Joel Kinnaman:Sylvester Stallone:Viola Davis,English,132,185000000,168717425,7.5,R
The Gentlemen,01/01/2020,Comedy,Guy Ritchie,Matthew McConaughey:Charlie Hunnam:Henry Golding,Michelle Dockery:Jeremy Strong:Colin Farrell,English,113,22000000,115171795,7.681,R
Shrek 2,19/05/2004,Comedy,Andrew Adamson,Mike Myers:Eddie Murphy:Cameron Diaz,Julie Andrews:Antonio Banderas:John Cleese,English,93,150000000,928800000,7.263,PG
PAW Patrol: The Mighty Movie,21/09/2023,Comedy,Cal Brunker,Mckenna Grace:Christian Convery:Taraji P. Henson,Kristen Bell:Lil Rel Howery:James Marsden,English,92,30000000,202231360,7.115,PG
The Holdovers,27/10/2023,Comedy,Alexander Payne,Paul Giamatti:Dominic Sessa:Da'Vine Joy Randolph,Carrie Preston:Brady Hepner:Ian Dolley,English,133,13000000,42513270,7.765,R
Megamind,28/10/2010,Comedy,Tom McGrath,Will Ferrell:Tina Fey:Jonah Hill,Brad Pitt:David Cross:Justin Theroux,English,96,130000000,321885765,6.975,PG
Babylon,22/12/2022,Comedy,Damien Chazelle,Brad Pitt:Margot Robbie:Diego Calva,Jean Smart:Flea:Jovan Adepo,English,189,78000000,63363579,7.4,R
Upgraded,07/02/2024,Comedy,Carlson Young,Camila Mendes:Archie Renaux:Marisa Tomei,Lena Olin:Anthony Stewart Head:Thomas Kretschmann,English,105,0,0,7.339,R
Red Notice,04/11/2021,Comedy,Rawson Marshall Thurber,Dwayne Johnson:Ryan Reynolds:Gal Gadot,Ritu Arya:Chris Diamantopoulos:Ivan Mbakop,English,118,160000000,178143,6.777,PG-13
Deadpool & Wolverine,24/07/2024,Comedy,Shawn Levy,Ryan Reynolds:Hugh Jackman:Emma Corrin,Morena Baccarin:Rob Delaney:Leslie Uggams,English,0,250000000,0,0,
Charlie and the Chocolate Factory,13/07/2005,Comedy,Tim Burton,Johnny Depp:Freddie Highmore:David Kelly,Helena Bonham Carter:Noah Taylor:Missi Pyle,English,115,150000000,475000000,7.051,PG
Zootopia,11/02/2016,Comedy,Byron Howard,Jason Bateman:Ginnifer Goodwin:Idris Elba,Jenny Slate:Nate Torrence:Bonnie Hunt,English,109,150000000,1023784195,7.747,PG
Shrek,18/05/2001,Comedy,Andrew Adamson,Mike Myers:Eddie Murphy:Cameron Diaz,John Lithgow:Vincent Cassel:Peter Dennis,English,90,60000000,487900000,7.738,PG
Up,28/05/2009,Comedy,Pete Docter,Ed Asner:Christopher Plummer:Jordan Nagai,Bob Peterson:Delroy Lindo:Jerome Ranft,English,96,175000000,735099082,8,PG
Luca,17/06/2021,Comedy,Enrico Casarosa,Jacob Tremblay:Jack Dylan Grazer:Emma Berman,Saverio Raimondo:Maya Rudolph:Marco Barricelli,English,95,200000000,49750471,7.839,PG
Role Play,04/01/2024,Comedy,Thomas Vincent,Kaley Cuoco:David Oyelowo:Bill Nighy,Connie Nielsen:Rudi Dharmalingam:Lucia Aliu,English,101,0,0,6.062,R
Dream Scenario,10/11/2023,Comedy,Kristoffer Borgli,Nicolas Cage:Julianne Nicholson:Lily Bird,Jessica Clement:Michael Cera:Dylan Gelula,English,102,10000000,14114415,6.793,R
Mary and Max,09/02/2009,Comedy,Adam Elliot,Toni Collette:Philip Seymour Hoffman:Eric Bana,Barry Humphries:Bethany Whitmore:Renée Geyer,English,92,8240000,1740429,7.849,NR
Shazam! Fury of the Gods,15/03/2023,Comedy,David F. Sandberg,Zachary Levi:Asher Angel:Jack Dylan Grazer,Rachel Zegler:Adam Brody:Ross Butler,English,130,125000000,133838006,6.572,PG-13
Sex Tape,17/07/2014,Comedy,Jake Kasdan,Cameron Diaz:Jason Segel:Rob Corddry,Ellie Kemper:Rob Lowe:Jolene Blalock,English,94,40000000,126069509,5.403,R
Ghostbusters,14/07/2016,Comedy,Paul Feig,Kristen Wiig:Melissa McCarthy:Kate McKinnon,Leslie Jones:Chris Hemsworth:Neil Casey,English,117,144000000,229147509,5.362,PG-13
Cars 3,15/06/2017,Comedy,Brian Fee,Owen Wilson:Cristela Alonzo:Chris Cooper,Nathan Fillion:Armie Hammer:Larry the Cable Guy,English,102,175000000,383925276,6.853,G
Ratatouille,28/06/2007,Comedy,Brad Bird,Patton Oswalt:Lou Romano:Ian Holm,Brian Dennehy:Peter Sohn:Peter O'Toole,English,111,150000000,623726000,7.817,G
Toy Story,30/10/1995,Comedy,John Lasseter,Tom Hanks:Tim Allen:Don Rickles,Jim Varney:Wallace Shawn:John Ratzenberger,English,81,30000000,394400000,7.973,G
Deadpool 2,10/05/2018,Comedy,David Leitch,Ryan Reynolds:Josh Brolin:Morena Baccarin,Julian Dennison:Zazie Beetz:T.J. Miller,English,120,110000000,785896632,7.489,R
Ghosted,18/04/2023,Comedy,Dexter Fletcher,Chris Evans:Ana de Armas:Adrien Brody,Mike Moh:Amy Sedaris:Tate Donovan,English,117,0,0,6.992,PG-13
The Hangover,02/06/2009,Comedy,Todd Phillips,Bradley Cooper:Ed Helms:Zach Galifianakis,Justin Bartha:Heather Graham:Sasha Barrese,English,100,35000000,469310836,7.319,R
Lisa Frankenstein,07/02/2024,Comedy,Zelda Williams,Kathryn Newton:Cole Sprouse:Liza Soberano,Henry Eikenberry:Joe Chrest:Carla Gugino,English,102,13400000,9383228,6.329,PG-13
Thor: Love and Thunder,06/07/2022,Comedy,Taika Waititi,Chris Hemsworth:Natalie Portman:Christian Bale,Tessa Thompson:Taika Waititi:Jaimie Alexander,English,119,250000000,760900000,6.476,PG-13
Big Hero 6,24/10/2014,Comedy,Chris Williams,Scott Adsit:Ryan Potter:Daniel Henney,T.J. Miller:Jamie Chung:Damon Wayans Jr.,English,102,165000000,657827828,7.735,PG
Madagascar,25/05/2005,Comedy,Eric Darnell,Ben Stiller:Chris Rock:David Schwimmer,Jada Pinkett Smith:Sacha Baron Cohen:Cedric the Entertainer,English,86,75000000,542100000,6.9,PG
Minions: The Rise of Gru,29/06/2022,Comedy,Kyle Balda,Steve Carell:Pierre Coffin:Alan Arkin,Taraji P. Henson:Michelle Yeoh:Julie Andrews,English,87,85000000,940000000,7.343,PG
Parasite,30/05/2019,Comedy,Bong Joon-ho,Song Kang-ho:Lee Sun-kyun:Cho Yeo-jeong,Choi Woo-shik:Park So-dam:Lee Jung-eun,Korean,133,11363000,257591776,8.511,R
The Wolf of Wall Street,25/12/2013,Comedy,Martin Scorsese,Leonardo DiCaprio:Jonah Hill:Margot Robbie,Kyle Chandler:Matthew McConaughey:Rob Reiner,English,180,100000000,392000000,8,R
Ghost Sweeper Mikami,04/12/1994,Comedy,Atsutoshi Umezawa,Takeshi Aono:Shigeru Chiba:Toshio Furukawa,Ryou Horikawa:Nobuhiko Kazama:Mariko Kouda,Japanese,60,0,0,6.583,PG-13
Pixels,16/07/2015,Comedy,Chris Columbus,Adam Sandler:Kevin James:Michelle Monaghan,Peter Dinklage:Josh Gad:Matt Lintz,English,105,88000000,244900000,5.725,PG-13
White Chicks,23/06/2004,Comedy,Keenen Ivory Wayans,Shawn Wayans:Marlon Wayans:Frankie Faison,Terry Crews:Faune Chambers Watkins:Rochelle Aytes,English,109,37000000,113100000,6.943,PG-13
Teenage Mutant Ninja Turtles: Mutant Mayhem,31/07/2023,Comedy,Jeff Rowe,Micah Abbey:Shamon Brown Jr.:Nicolas Cantu,Brady Noon:Ayo Edebiri:Maya Rudolph,English,100,75000000,180000000,7.267,PG
Shrek Forever After,16/05/2010,Comedy,Mike Mitchell,Mike Myers:Eddie Murphy:Cameron Diaz,Antonio Banderas:Walt Dohrn:Julie Andrews,English,93,165000000,752600000,6.364,PG
Cruella,26/05/2021,Comedy,Craig Gillespie,Emma Stone:Emma Thompson:Joel Fry,Paul Walter Hauser:Mark Strong:Tipper Seifert-Cleveland,English,134,200000000,233503234,8.027,PG-13
Garfield,10/06/2004,Comedy,Peter Hewitt,Bill Murray:Breckin Meyer:Jennifer Love Hewitt,Stephen Tobolowsky:Evan Arnold:Mark Christopher Lawrence,English,80,50000000,200800000,5.692,PG
Sing,23/11/2016,Comedy,Garth Jennings,Matthew McConaughey:Reese Witherspoon:Seth MacFarlane,Scarlett Johansson:John C. Reilly:Taron Egerton,English,108,75000000,634151679,7.108,PG
Sonic the Hedgehog 2,30/03/2022,Comedy,Jeff Fowler,Ben Schwartz:James Marsden:Tika Sumpter,Colleen O'Shaughnessey:Idris Elba:Jim Carrey,English,123,110000000,405400000,7.527,PG
Toy Story 2,30/10/1999,Comedy,John Lasseter,Tom Hanks:Tim Allen:Joan Cusack,Kelsey Grammer:Don Rickles:Jim Varney,English,92,90000000,497400000,7.592,G
Scrapper,25/08/2023,Comedy,Charlotte Regan,Lola Campbell:Harris Dickinson:Alin Uzun,Laura Aikman:Ambreen Razia:Asheq Akhtar,English,84,0,1234483,6.52,NR
Frozen II,20/11/2019,Comedy,Chris Buck,Idina Menzel:Kristen Bell:Josh Gad,Jonathan Groff:Evan Rachel Wood:Sterling K. Brown,English,103,150000000,1450000000,7.26,PG
Home Alone 2: Lost in New York,15/11/1992,Comedy,Chris Columbus,Macaulay Culkin:Daniel Stern:Joe Pesci,Catherine O'Hara:John Heard:Brenda Fricker,English,120,18000000,358994850,6.738,PG
Luck,05/08/2022,Comedy,Peggy Holmes,Eva Noblezada:Simon Pegg:Jane Fonda,Whoopi Goldberg:Flula Borg:Lil Rel Howery,English,105,0,0,7.804,G
South Park: Bigger:Longer & Uncut,30/06/1999,Comedy,Trey Parker,Trey Parker:Matt Stone:Mary Kay Bergman,Isaac Hayes:Jesse Brant Howell:Anthony Cross-Thomas,English,81,21000000,83100000,7.262,R
Sing 2,01/12/2021,Comedy,Garth Jennings,Matthew McConaughey:Reese Witherspoon:Scarlett Johansson,Taron Egerton:Bobby Cannavale:Tori Kelly,English,110,85000000,406000000,7.877,PG
Hotel Transylvania: Transformania,31/01/2022,Comedy,Derek Drymon,Brian Hull:Selena Gomez:Andy Samberg,Kathryn Hahn:Jim Gaffigan:Steve Buscemi,English,92,75000000,18500000,7.1,PG
Mean Girls,30/04/2004,Comedy,Mark Waters,Lindsay Lohan:Rachel McAdams:Lizzy Caplan,Lacey Chabert:Amanda Seyfried:Daniel Franzese,English,97,17000000,130100000,7.207,PG-13
Knives Out,27/11/2019,Comedy,Rian Johnson,Daniel Craig:Chris Evans:Ana de Armas,Jamie Lee Curtis:Michael Shannon:Don Johnson,English,131,40000000,312897920,7.848,PG-13
Just One Small Favor,10/11/2023,Comedy,Juana Macías,Alfonso Bassave:Inma Cuesta:Gonzalo de Castro,Diego Martín:Sara Sálamo:Pere Ponce,Spanish,100,0,0,5.708,
Breaking Bad,20/01/2008,Comedy,Vince Gilligan,Bryan Cranston:Aaron Paul,Anna Gunn:Metsy Brandt,English,155,30000000,750000000,9.5,R
Pitch Perfect 2,07/05/2015,Comedy,Elizabeth Banks,Anna Kendrick:Brittany Snow:Hailee Steinfeld,Rebel Wilson:Ester Dean:Adam Devine,English,115,29000000,287144079,6.86,PG-13
Toy Story 4,19/06/2019,Comedy,Josh Cooley,Tom Hanks:Tim Allen:Annie Potts,Tony Hale:Keegan-Michael Key:Madeleine McGraw,English,100,175000000,1073395000,7.5,G
Cars 2,11/06/2011,Comedy,John Lasseter,Larry the Cable Guy:Owen Wilson:Michael Caine,Emily Mortimer:John Turturro:Eddie Izzard,English,106,200000000,559852396,6.103,G
Chicken Run: Dawn of the Nugget,08/12/2023,Comedy,Sam Fell,Thandiwe Newton:Zachary Levi:Bella Ramsey,Imelda Staunton:Lynn Ferguson:David Bradley,English,98,0,0,7.082,PG
Ruby Gillman:Teenage Kraken,28/06/2023,Comedy,Kirk DeMicco,Lana Condor:Toni Collette:Annie Murphy,Sam Richardson:Liza Koshy:Will Forte,English,91,70000000,43700000,7.309,PG
Once Upon a Time... in Hollywood,24/07/2019,Comedy,Quentin Tarantino,Leonardo DiCaprio:Brad Pitt:Margot Robbie,Emile Hirsch:Margaret Qualley:Timothy Olyphant,English,162,95000000,374300000,7.44,R
Drive-Away Dolls,22/02/2024,Comedy,Ethan Coen,Margaret Qualley:Geraldine Viswanathan:Beanie Feldstein,Joey Slotnick:C.J. Wilson:Colman Domingo,English,84,8000000,5250531,5.801,R
The Fall Guy,24/04/2024,Comedy,David Leitch,Ryan Gosling:Emily Blunt:Winston Duke,Aaron Taylor-Johnson:Hannah Waddingham:Stephanie Hsu,English,126,125000000,0,0,PG-13
